"","OTU","Genus","Species","Abundance"
"167","ESV5","g__Hygrocybe","s__flavescens",589.279468297595
"149","ESV30","g__Pezoloma","s__ericae",532.72125623738
"186","ESV6","g__Cenococcum","s__geophilum",411.570872269102
"213","ESV15","g__Mortierella","s__humilis",374.925594936309
"5","ESV42","g__Sympodiella","s__acicola",305.798149760449
"13","ESV3","g__Polyscytalum","s__algarvense",282.539518119519
"369","ESV23","g__Nectriopsis","s__rexiana",265.046974968311
"442","ESV8","g__Solicoccozyma","s__terricola",262.762961267527
"429","ESV16","g__Cladophialophora","s__sylvestris",250.55235499388
"297","ESV90","g__Chaetosphaeria","s__myriocarpa",227.028051079122
"136","ESV2","g__Umbelopsis","s__dimorpha",213.341359157522
"355","ESV25","g__Hygrocybe","s__punicea",184.483352632227
"142","ESV10","g__Cylindrium","s__elongatum",179.670753149423
"462","ESV142","g__Lachnum","s__virgineum",169.641082512269
"388","ESV4","g__Mycena","s__sanguinolenta",164.237979284792
"335","ESV48","g__Saitozyma","s__podzolica",163.311589050296
"48","ESV58","g__Geomyces","s__auratus",162.150439250917
"42","ESV38","g__Trichoderma","s__asperellum",160.55668509436
"99","ESV95","g__Hygrocybe","s__chlorophana",158.953553495153
"343","ESV64","g__Mortierella","s__pseudozygospora",155.416838056671
"130","ESV67","g__Hymenoscyphus","s__dehlii",152.776689958194
"79","ESV129","g__Hygrocybe","s__cantharellus",146.376129950024
"109","ESV118","g__Hygrocybe","s__conica",142.250701363854
"51","ESV71","g__Coccomyces","s__australis",130.251809669943
"454","ESV73","g__Pseudoanungitea","s__vaccinii",129.44659629788
"152","ESV190","g__Polyscytalum","s__eucalyptigenum",128.122644299957
"122","ESV29","g__Russula","s__cyanoxantha",127.488077877317
"270","ESV74","g__Oidiodendron","s__maius",117.335159112856
"405","ESV226","g__Phaeotremella","s__skinneri",116.572782365378
"445","ESV83","g__Leptodontidium","s__trabinellum",112.231443826206
"459","ESV124","g__Leohumicola","s__verrucosa",110.242279759988
"35","ESV277","g__Athelia","s__arachnoidea",107.782043697708
"68","ESV60","g__Russula","s__brunneoviolacea",107.268464194396
"314","ESV26","g__Trichocladium","s__opacum",107.2679827764
"70","ESV87","g__Pochonia","s__bulbillosa",106.868164501182
"338","ESV46","g__Endoconidioma","s__populi",106.394652059845
"438","ESV33","g__Leohumicola","s__terminalis",103.044868462203
"97","ESV31","g__Oidiodendron","s__chlamydosporicum",96.464147273951
"229","ESV115","g__Umbelopsis","s__isabellina",93.2722504145388
"469","ESV41","g__Clavaria","s__zollingeri",92.4741049331395
"340","ESV51","g__Polydesmia","s__pruinosa",89.740863498026
"76","ESV55","g__Lactarius","s__camphoratus",89.4444739178295
"138","ESV75","g__Oidiodendron","s__echinulatum",88.1553252253749
"263","ESV85","g__Leotia","s__lubrica",84.4757074245692
"423","ESV177","g__Tomentella","s__sublilacina",83.2805799901272
"77","ESV212","g__Gymnostellatospora","s__canadensis",82.0126133912186
"159","ESV161","g__Russula","s__fellea",81.2157206107681
"357","ESV168","g__Lycoperdon","s__pyriforme",79.2524762791189
"424","ESV59","g__Russula","s__subsulphurea",73.5580372323073
"82","ESV251","g__Metarhizium","s__carneum",71.9642173446442
