OTU_ID	taxonomy	Taxon	Taxon Level	Trophic Mode	Guild	Confidence Ranking	Growth Morphology	Trait	Notes	Citation/Source
ESV1	p__Ascomycota;c__Dothideomycetes;o__Mytilinidales;f__Gloniaceae;g__Cenococcum;NA	Cenococcum	13	Symbiotroph	Ectomycorrhizal	Highly Probable	NULL	NULL	NULL	Tedersoo L, et al. 2014. Science 346:1256688
ESV10	p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Hypocreales_fam_Incertae_sedis;g__Cylindrium;s__elongatum	Hypocreales	7	Saprotroph	Undefined Saprotroph	Possible	Microfungus	NULL	NULL	Sterkenburg E, et al. 2015. New Phytologist 207:1145-1158
ESV101	p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Hypocreaceae;g__Trichoderma;s__spirale	Hypocreales	7	Saprotroph	Undefined Saprotroph	Possible	Microfungus	NULL	NULL	Sterkenburg E, et al. 2015. New Phytologist 207:1145-1158
ESV102	p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__Myxotrichaceae;g__Oidiodendron;NA	Oidiodendron	13	Pathotroph-Symbiotroph	Ericoid Mycorrhizal	Probable	Dark Septate Endophyte	NULL	NULL	Newsham 2011. New Phytologist 190:783-793 (as DSE)
ESV103	p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__Leotiaceae;g__Alatospora;NA	Alatospora	13	Saprotroph	Undefined Saprotroph	Probable	NULL	NULL	NULL	Tedersoo L, et al. 2014. Science 346:1256688
ESV104	p__Basidiomycota;c__Tremellomycetes;o__Tremellales;NA;NA;NA	Tremellales	7	Pathotroph-Saprotroph-Symbiotroph	Fungal Parasite-Undefined Saprotroph	Possible	Tremelloid-Yeast	NULL	The order contains both teleomorphic and anamorphic species, most of the latter being yeasts	Sterkenburg E, et al. 2015. New Phytologist 207:1145-1158
ESV105	p__Basidiomycota;c__Cystobasidiomycetes;o__Erythrobasidiales;f__Erythrobasidiaceae;g__Erythrobasidium;s__hasegawianum	Erythrobasidium	13	Saprotroph	Undefined Saprotroph	Possible	Yeast	NULL	NULL	Sugiyama J, Hamamoto M. 1998. The Yeasts 4:654-655 (https://doi.org/10.1016/B978-044481312-1/50086-1)
ESV107	p__Basidiomycota;c__Agaricomycetes;o__Atheliales;f__Atheliaceae;NA;NA	Atheliaceae	9	Pathotroph-Saprotroph-Symbiotroph	Ectomycorrhizal-Lichen Parasite-Lichenized-Plant Pathogen	Possible	Corticioid	NULL	Many species form ectomycorrhizal associations, often occupying a dominant position in mycorrhizal communities. Other species are pathogens of many different plants and even lichens, and one species has even been suggested to form a lichen association with cyanobacteria. Yet more species are sparse and active decomposers, and a few are aquatic (Cannon & Kirk 2007)	Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge
ESV108	p__Ascomycota;c__Dothideomycetes;o__Capnodiales;f__Neodevriesiaceae;NA;NA	Neodevriesiaceae	9	Pathotroph-Saprotroph	Plant Pathogen-Undefined Saprotroph	Probable	NULL	NULL	Members are foliicolous, saprobic or plant pathogenic (Quaedvlieg et al. 2014)	Quaedvlieg W. et al. 2014. Persoonia 33:1-40
ESV109	p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Hygrophoraceae;g__Gliophorus;s__psittacinus	Gliophorus	13	Saprotroph-Symbiotroph	Undefined Saprotroph-Undefined Symbiotroph	Highly Probable	Agaricoid	NULL	Previously classified as Hygrocybe; carbon signature suggests biotrophy with bryophytes, grasses, or understory plants	Lodge J. et al. 2014. Fungal Diversity 64:1-99; Lodge J. 2014. Omphalina 5:2-6; Seitzman BH, et al. 2011. Mycologia 103:280-290.
ESV110	p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Strophariaceae;g__Galerina;s__calyptrata	Galerina	13	Pathotroph-Saprotroph	Bryophyte Parasite-Leaf Saprotroph-Soil Saprotroph-Undefined Saprotroph-Wood Saprotroph	Probable	Agaricoid	White Rot	NULL	Tedersoo L, et al. 2014. Science 346:1256688
