sample;sp;block;plot;horizon;ID;sampleID;rawplot;myco_horiz
S1;FG;4;FG_4;Ae;FG_4_Ae;M_FG_FS_04_Ae;M_FG_FS_04;FG_Ae
S2;AS;4;AS_4;Ae;AS_4_Ae;M_AS_FS_04_Ae;M_AS_FS_04;AS_Ae
S3;AS;5;AS_5;B;AS_5_B;M_AS_FS_05_B;M_AS_FS_05;AS_B
S4;FG;4;FG_4;F;FG_4_F;M_FG_FS_04_F;M_FG_FS_04;FG_F
S5;AS;5;AS_5;F;AS_5_F;M_AS_FS_05_F;M_AS_FS_05;AS_F
S6;AS;4;AS_4;H;AS_4_H;M_AS_FS_04_H;M_AS_FS_04;AS_H
S7;FG;5;FG_5;H;FG_5_H;M_FG_FS_05_H;M_FG_FS_05;FG_H
S8;FG;4;FG_4;H;FG_4_H;M_FG_FS_04_H;M_FG_FS_04;FG_H
S9;FG;1;FG_1;H;FG_1_H;M_FG_FS_01_H;M_FG_FS_01;FG_H
S10;Mix;1;Mix_1;H;Mix_1_H;M_FS_Mix_01_H;M_FS_Mix_01;Mix_H
S11;Mix;1;Mix_1;Ae;Mix_1_Ae;M_FS_Mix_01_Ae;M_FS_Mix_01;Mix_Ae
S12;FG;3;FG_3;B;FG_3_B;M_FG_FS_03_B;M_FG_FS_03;FG_B
S13;Mix;2;Mix_2;F;Mix_2_F;M_FS_Mix_02_F;M_FS_Mix_02;Mix_F
S14;AS;1;AS_1;F;AS_1_F;M_AS_FS_01_F;M_AS_FS_01;AS_F
S15;Mix;3;Mix_3;H;Mix_3_H;M_FS_Mix_03_H;M_FS_Mix_03;Mix_H
S16;FG;2;FG_2;F;FG_2_F;M_FG_FS_02_F;M_FG_FS_02;FG_F
S17;FG;4;FG_4;L;FG_4_L;M_FG_FS_04_L;M_FG_FS_04;FG_L
S18;Mix;1;Mix_1;L;Mix_1_L;M_FS_Mix_01_L;M_FS_Mix_01;Mix_L
S19;FG;1;FG_1;L;FG_1_L;M_FG_FS_01_L;M_FG_FS_01;FG_L
S20;AS;1;AS_1;L;AS_1_L;M_AS_FS_01_L;M_AS_FS_01;AS_L
S21;Mix;2;Mix_2;L;Mix_2_L;M_FS_Mix_02_L;M_FS_Mix_02;Mix_L
S22;AS;2;AS_2;L;AS_2_L;M_AS_FS_02_L;M_AS_FS_02;AS_L
S23;FG;2;FG_2;L;FG_2_L;M_FG_FS_02_L;M_FG_FS_02;FG_L
S24;Mix;3;Mix_3;L;Mix_3_L;M_FS_Mix_03_L;M_FS_Mix_03;Mix_L
S25;AS;3;AS_3;L;AS_3_L;M_AS_FS_03_L;M_AS_FS_03;AS_L
S26;FG;3;FG_3;L;FG_3_L;M_FG_FS_03_L;M_FG_FS_03;FG_L
S27;Mix;5;Mix_5;L;Mix_5_L;M_FS_Mix_05_L;M_FS_Mix_05;Mix_L
S28;AS;5;AS_5;L;AS_5_L;M_AS_FS_05_L;M_AS_FS_05;AS_L
