OTU_ID,taxonomy
ESV1,p__Ascomycota;c__Dothideomycetes;o__Mytilinidales;f__Gloniaceae;g__Cenococcum;NA
ESV2,p__Mucoromycota;c__Umbelopsidomycetes;o__Umbelopsidales;f__Umbelopsidaceae;g__Umbelopsis;s__dimorpha
ESV3,p__Ascomycota;c__Sordariomycetes;o__Xylariales;f__Amphisphaeriaceae;g__Polyscytalum;s__algarvense
ESV4,p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Tricholomataceae;g__Mycena;s__sanguinolenta
ESV5,p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Hygrophoraceae;g__Hygrocybe;s__flavescens
ESV6,p__Ascomycota;c__Dothideomycetes;o__Mytilinidales;f__Gloniaceae;g__Cenococcum;s__geophilum
ESV7,p__Ascomycota;c__Sordariomycetes;o__Sordariales;f__Lasiosphaeriaceae;g__Apodus;s__deciduus
ESV8,p__Basidiomycota;c__Tremellomycetes;o__Filobasidiales;f__Piskurozymaceae;g__Solicoccozyma;s__terricola
ESV9,p__Ascomycota;c__Saccharomycetes;NA;NA;NA;NA
ESV10,p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Hypocreales_fam_Incertae_sedis;g__Cylindrium;s__elongatum
ESV11,p__Ascomycota;c__Dothideomycetes;o__Venturiales;NA;NA;NA
ESV12,p__Mucoromycota;c__Umbelopsidomycetes;o__Umbelopsidales;f__Umbelopsidaceae;g__Umbelopsis;NA
ESV13,p__Basidiomycota;c__GS25;o__GS25;NA;NA;NA
ESV14,p__Ascomycota;c__Eurotiomycetes;o__Chaetothyriales;NA;NA;NA
ESV15,p__Mortierellomycota;c__Mortierellomycetes;o__Mortierellales;f__Mortierellaceae;g__Mortierella;s__humilis
ESV16,p__Ascomycota;c__Eurotiomycetes;o__Chaetothyriales;f__Herpotrichiellaceae;g__Cladophialophora;s__sylvestris
ESV17,p__Basidiomycota;c__Agaricomycetes;o__Polyporales;f__Ganodermataceae;NA;NA
ESV18,p__Ascomycota;c__Sordariomycetes;o__Chaetosphaeriales;f__Chaetosphaeriaceae;NA;NA
ESV19,p__Ascomycota;c__Leotiomycetes;o__Rhytismatales;f__Rhytismataceae;g__Colpoma;NA
ESV20,p__Ascomycota;c__Leotiomycetes;o__Rhytismatales;f__Rhytismataceae;NA;NA
