"","plot","sampleID","horiz","bulk.density","totalC","totalN","CN","totalP","inorgP","orgP","BrayP","CPo","pHH2O","pHCaCl2","pHBaCl2","Al","Ca","Fe","K","Mg","Mn","Na","TEB","ECEC","BS","Alsat","Ca:Mg","block","suitable","width","long","lat","elev","slope","aspect","watregime","myco","succ","observer","date_veg","totalba","ECM_perc","AM_perc"
"1","M_AS_FS_01","M_AS_FS_01_L","L",190,76.2964,3.2224,23.676,0.11048595,0.02927026,0.08121569,0.007258,939.424,4.85,3.89,3.61,34.9,7705,3,3,694.9,1039.1,90.3,44.6,0.009272,91.4,0.8,6.7,"FS1","yes",20,74.01154,45.98579,403,10,95,"mesic","AM","FS","D,A,E","19/05/2015",23.2,7.5,92.5
"2","M_AS_FS_01","M_AS_FS_01_F","F",180,70.4664,3.8142,18.479,0.11172024,0.0170712,0.09464904,0.02844,744.502,4.57,3.6,3.39,292.7,5026.3,8.6,20.2,309.7,593,139.6,28.3,0.006066,83.8,9.6,9.8,"FS1","yes",20,74.01154,45.98579,403,10,95,"mesic","AM","FS","D,A,E","19/05/2015",23.2,7.5,92.5
"3","M_AS_FS_01","M_AS_FS_01_H","H",270,51.327,3.672,13.983,0.16796511,0.03413043,0.13383468,0.026703,383.513,5.05,3.67,3.59,659.6,1167.6,35.8,47.2,98,206.6,124.5,7.3,0.004212,46.8,47.1,7.2,"FS1","yes",20,74.01154,45.98579,403,10,95,"mesic","AM","FS","D,A,E","19/05/2015",23.2,7.5,92.5
"4","M_AS_FS_01","M_AS_FS_01_Ae","Ae",1190,72.1973,4.998,14.431,0.35857318,0.08000489,0.27856829,0.029393,259.16,4.59,3.52,3.6,359.3,428.5,21.9,33,41.2,31.4,117.8,3.1,0.008687,42.1,54.7,6.3,"FS1","yes",20,74.01154,45.98579,403,10,95,"mesic","AM","FS","D,A,E","19/05/2015",23.2,7.5,92.5
"5","M_AS_FS_01","M_AS_FS_01_B","B",743,60.28702,3.47724,17.324,0.402865745,0.126828614,0.276037131,0.0021547,218.395,5.05,4.07,4.18,445.2,246.2,20.8,32.4,24.3,19,141.3,2.1,0.0054239,29.3,68.2,6.2,"FS1","yes",20,74.01154,45.98579,403,10,95,"mesic","AM","FS","D,A,E","19/05/2015",23.2,7.5,92.5
"6","M_AS_FS_02","M_AS_FS_02_L","L",190,79.0685,3.4124,23.167,0.09800827,0.02234609,0.07566218,0.036081,1045.017,4.77,3.94,3.67,4.5,7318.3,2.4,1126.5,914.2,1082.6,26.5,47,0.00969,92.2,0.1,4.9,"FS2","yes",20,74.01243,45.97972,398,13,140,"mesic","AM","FS","D,A,E","20/05/2015",30.9,8.4,91.6
"7","M_AS_FS_02","M_AS_FS_02_F","F",180,66.0636,3.7692,17.527,0.10178118,0.02780028,0.07398072,0.036324,892.993,4.38,3.42,3.15,34.8,5086.4,11.3,572.3,412.6,433.6,46.5,30.4,0.00585,93.8,1.2,7.5,"FS2","yes",20,74.01243,45.97972,398,13,140,"mesic","AM","FS","D,A,E","20/05/2015",30.9,8.4,91.6
"8","M_AS_FS_02","M_AS_FS_02_H","H",270,65.745,5.0517,13.016,0.14289966,0.03522474,0.10767492,0.035883,610.589,4.99,3.39,3.14,174.9,2461.8,43,260.2,217.4,32.1,38.9,14.9,0.004644,86.7,11.3,6.9,"FS2","yes",20,74.01243,45.97972,398,13,140,"mesic","AM","FS","D,A,E","20/05/2015",30.9,8.4,91.6
"9","M_AS_FS_02","M_AS_FS_02_Ae","Ae",1190,88.6312,6.0928,14.545,0.31338293,0.05081181,0.26257112,0.034748,337.572,4.35,3.28,3.43,239.3,603.5,62.2,100.2,62.3,7.8,34.6,3.9,0.00833,56.5,38.3,5.9,"FS2","yes",20,74.01243,45.97972,398,13,140,"mesic","AM","FS","D,A,E","20/05/2015",30.9,8.4,91.6
"10","M_AS_FS_02","M_AS_FS_02_B","B",743,53.47371,4.12365,12.964,0.286379691,0.115991959,0.170387732,0.002972,313.836,5.07,3.88,4.08,434.3,270.5,22,45.8,24.6,17.3,32.4,1.8,0.0050524,26.5,70.8,6.7,"FS2","yes",20,74.01243,45.97972,398,13,140,"mesic","AM","FS","D,A,E","20/05/2015",30.9,8.4,91.6
"11","M_AS_FS_03","M_AS_FS_03_L","L",190,79.4181,3.1084,25.547,0.12426646,0.03327679,0.09098967,0.052174,872.831,4.72,3.91,3.77,9.2,7364.1,4.2,4.2,911.1,1049.4,50.7,44.5,0.009196,91.9,0.2,4.9,"FS3","yes",20,73.97886,45.98087,374,9,140,"mesic","AM","FS","D,A,W","20/07/2015",33.3,8.4,91.6
"12","M_AS_FS_03","M_AS_FS_03_F","F",180,65.79,3.6108,18.217,0.1238157,0.02960478,0.09421092,0.043074,698.327,4.43,3.5,3.34,32.5,5296,7.4,7.4,472.5,687.7,74.5,30.7,0.006048,91.3,1.1,6.8,"FS3","yes",20,73.97886,45.98087,374,9,140,"mesic","AM","FS","D,A,W","20/07/2015",33.3,8.4,91.6
"13","M_AS_FS_03","M_AS_FS_03_H","H",270,65.043,3.3777,19.256,0.13805883,0.03981744,0.09824139,0.035343,662.086,4.93,3.44,3.19,153.5,2489.6,41.4,41.4,241.9,56.5,75.3,14.8,0.00459,87.4,10.1,6.2,"FS3","yes",20,73.97886,45.98087,374,9,140,"mesic","AM","FS","D,A,W","20/07/2015",33.3,8.4,91.6
